source	target	resources
MYB	GATA1	NTNUcuration_CollecTRI2;CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;RegNetwork_DoRothEA;NTNU.Curated_CollecTRI;TRED_DoRothEA;CollecTRI2;DoRothEA;ARACNe-GTEx_DoRothEA
MYB	HBB	ExTRI2_CollecTRI2;CollecTRI;ExTRI_CollecTRI;CollecTRI2
MYB	HBG1	NTNUcuration_CollecTRI2;CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;CollecTRI2;GEREDB_CollecTRI;GEREDB_CollecTRI2
MYB	KLF1	TRRUST;HTRI_CollecTRI;CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;HTRIdb;HTRIdb_DoRothEA;DoRothEA-A_CollecTRI2;CollecTRI2;DoRothEA-A_CollecTRI;TRRUST_CollecTRI;TRRUST_DoRothEA;DoRothEA;TRRUST_CollecTRI2;HTRIdb_CollecTRI2
MYB	LMO2	TRRUST;HTRI_CollecTRI;CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;HTRIdb;HTRIdb_DoRothEA;DoRothEA-A_CollecTRI2;CollecTRI2;DoRothEA-A_CollecTRI;TRRUST_CollecTRI;TRRUST_DoRothEA;DoRothEA;TRRUST_CollecTRI2;HTRIdb_CollecTRI2
MYB	PCNA	NTNUcuration_CollecTRI2;CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;RegNetwork_DoRothEA;NTNU.Curated_CollecTRI;TRED_DoRothEA;CollecTRI2;DoRothEA
MYB	RUNX1	Pavlidis_CollecTRI2;CollecTRI;ExTRI2_CollecTRI2;ReMap_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA;CollecTRI2;Pavlidis2021_CollecTRI;DoRothEA
NFE2	AHSP	HTRI_CollecTRI;NTNUcuration_CollecTRI2;CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;HTRIdb;HTRIdb_DoRothEA;NTNU.Curated_CollecTRI;CollecTRI2;DoRothEA;ARACNe-GTEx_DoRothEA;HTRIdb_CollecTRI2
NFE2	ALAS2	NTNUcuration_CollecTRI2;CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;NTNU.Curated_CollecTRI;CollecTRI2
NFE2	HBB	SIGNOR_CollecTRI;NTNUcuration_CollecTRI2;SIGNOR_CollecTRI2;CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;NTNU.Curated_CollecTRI;CollecTRI2;GEREDB_CollecTRI;GEREDB_CollecTRI2
NFE2	HBG1	SIGNOR_CollecTRI;NTNUcuration_CollecTRI2;CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;NTNU.Curated_CollecTRI;CollecTRI2;SIGNOR_CollecTRI2
RUNX1	CEBPA	Pavlidis_CollecTRI2;NTNUcuration_CollecTRI2;CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;NTNU.Curated_CollecTRI;CollecTRI2;Pavlidis2021_CollecTRI
RUNX1	EPOR	ExTRI2_CollecTRI2;CollecTRI;ExTRI_CollecTRI;CollecTRI2
RUNX1	GATA1	ExTRI2_CollecTRI2;CollecTRI;ExTRI_CollecTRI;CollecTRI2
RUNX1	GATA2	ExTRI2_CollecTRI2;CollecTRI;ExTRI_CollecTRI;CollecTRI2
RUNX1	NFE2	Pavlidis_CollecTRI2;CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;CollecTRI2;Pavlidis2021_CollecTRI
RUNX1	SPI1	SIGNOR_CollecTRI;DoRothEA-A_CollecTRI2;TRRUST_DoRothEA;Pavlidis2021_CollecTRI;DoRothEA;ARACNe-GTEx_DoRothEA;TRRUST_CollecTRI2;TRRUST;GOA_CollecTRI;CollecTRI;ExTRI2_CollecTRI2;CollecTRI2;SIGNOR_CollecTRI2;GEREDB_CollecTRI2;Pavlidis_CollecTRI2;ExTRI_CollecTRI;GEREDB_CollecTRI;TRRUST_CollecTRI;NTNUcuration_CollecTRI2;GOA_CollecTRI2
SPI1	GATA1	TRRUST;NTNUcuration_CollecTRI2;CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;TfactS_CollecTRI2;RegNetwork_DoRothEA;DoRothEA-A_CollecTRI2;NTNU.Curated_CollecTRI;CollecTRI2;TRED_DoRothEA;TRRUST_DoRothEA;GEREDB_CollecTRI;DoRothEA;GEREDB_CollecTRI2;TRRUST_CollecTRI2;TRRUST_CollecTRI
SPI1	GATA2	SIGNOR_CollecTRI;NTNUcuration_CollecTRI2;SIGNOR_CollecTRI2;CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;NTNU.Curated_CollecTRI;CollecTRI2;GEREDB_CollecTRI;GEREDB_CollecTRI2
SPI1	HBB	CollecTRI;ExTRI_CollecTRI;CollecTRI2;GEREDB_CollecTRI;GEREDB_CollecTRI2
SPI1	LMO2	CollecTRI;ExTRI2_CollecTRI2;ReMap_DoRothEA;CollecTRI2;GEREDB_CollecTRI;DoRothEA;GEREDB_CollecTRI2
SPI1	MYB	TFactS_CollecTRI;CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;PAZAR;PAZAR_DoRothEA;RegNetwork_DoRothEA;DoRothEA-A_CollecTRI2;TRED_DoRothEA;CollecTRI2;DoRothEA-A_CollecTRI;TfactS_CollecTRI2;GEREDB_CollecTRI;DoRothEA;GEREDB_CollecTRI2
SPI1	TAL1	TFe_DoRothEA;TFactS_CollecTRI;CollecTRI;PAZAR;ExTRI2_CollecTRI2;TfactS_CollecTRI2;DoRothEA-A_CollecTRI2;CollecTRI2;DoRothEA-A_CollecTRI;GEREDB_CollecTRI;DoRothEA;GEREDB_CollecTRI2
SPI1	ZFPM1	NTNUcuration_CollecTRI2;CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;NTNU.Curated_CollecTRI;CollecTRI2
STAT5A	CEBPA	CollecTRI;ExTRI2_CollecTRI2;CollecTRI2;GEREDB_CollecTRI;GEREDB_CollecTRI2
STAT5A	EPOR	ExTRI2_CollecTRI2;CollecTRI;ExTRI_CollecTRI;CollecTRI2
STAT5A	HBB	SIGNOR_CollecTRI2;SIGNOR_CollecTRI;CollecTRI;CollecTRI2
TAL1	EPOR	TRRUST;CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;CollecTRI2;TRRUST_DoRothEA;DoRothEA;ARACNe-GTEx_DoRothEA;TRRUST_CollecTRI2;TRRUST_CollecTRI
TAL1	HBG1	NTNUcuration_CollecTRI2;CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;NTNU.Curated_CollecTRI;CollecTRI2
TAL1	LMO2	Pavlidis_CollecTRI2;CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;PAZAR_DoRothEA;ReMap_DoRothEA;CollecTRI2;Pavlidis2021_CollecTRI;DoRothEA;ARACNe-GTEx_DoRothEA
TAL1	MYB	TRRUST;CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;PAZAR_DoRothEA;DoRothEA-A_CollecTRI2;CollecTRI2;TRRUST_DoRothEA;DoRothEA;TRRUST_CollecTRI2;TRRUST_CollecTRI
TAL1	NFE2	Pavlidis_CollecTRI2;NTNUcuration_CollecTRI2;ENCODE-proximal;CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;NTNU.Curated_CollecTRI;CollecTRI2;Pavlidis2021_CollecTRI
TAL1	RUNX1	NTNUcuration_CollecTRI2;CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;PAZAR_DoRothEA;ReMap_DoRothEA;NTNU.Curated_CollecTRI;CollecTRI2;DoRothEA
ZFPM1	GATA2	SIGNOR_CollecTRI;NTNUcuration_CollecTRI2;CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;SIGNOR;NTNU.Curated_CollecTRI;CollecTRI2;SIGNOR_CollecTRI2
ZFPM1	HBB	CollecTRI;ExTRI_CollecTRI
ZFPM1	HBG1	NTNUcuration_CollecTRI2;CollecTRI;ExTRI_CollecTRI;ExTRI2_CollecTRI2;CollecTRI2
ZFPM1	NFE2	GEREDB_CollecTRI;GEREDB_CollecTRI2;CollecTRI;CollecTRI2
